origin_country,total_flights,avg_velocity,avg_altitude,on_ground_count
Algeria,5,238.7,11369.039999999999,0
Argentina,7,168.29999999999998,8427.72,1
Australia,329,102.4263829787234,4673.76,70
Austria,12,196.83416666666668,9642.763636363636,0
Azerbaijan,1,254.86,9593.58,0
Bangladesh,11,89.97090909090909,5101.59,5
Belarus,1,237.83,9403.08,0
Belgium,6,203.70833333333334,8035.29,0
Bhutan,2,114.3,9486.9,1
Bolivia,1,221.54,11330.94,0
Brazil,35,236.09628571428573,11056.402285714286,0
Brunei Darussalam,1,249.3,12085.32,0
Bulgaria,7,177.83571428571426,7506.788571428572,0
Canada,242,164.44425619834712,8865.657258883248,44
Chile,28,189.11178571428573,8290.853076923077,2
China,214,179.9727102803738,7935.057692307692,22
Colombia,11,138.20909090909092,7685.7225,3
Czech Republic,4,147.7525,7510.78,1
Denmark,6,133.18666666666667,4832.604,1
Dominican Republic,2,118.985,12009.12,1
Ecuador,1,73.17,236.22,0
Egypt,16,206.96125,9144.9525,0
Estonia,3,83.12666666666667,10553.7,2
Ethiopia,15,237.07000000000002,10965.688,0
Fiji,3,210.09666666666666,7228.84,0
Finland,16,140.485,6967.401428571428,2
France,56,228.3230357142857,10019.607272727273,1
Georgia,4,133.3275,11277.6,2
Germany,65,196.5403076923077,9124.030344827586,6
Greece,4,142.1575,6511.29,0
Hungary,6,178.965,9044.939999999999,1
Iceland,2,45.925,220.98,1
India,191,177.97722513089005,7856.973139534883,18
Indonesia,21,202.13285714285715,8959.977,1
Ireland,31,229.40032258064517,10020.572142857143,2
Israel,11,224.22,10247.376,1
Italy,4,142.375,12313.92,2
Japan,171,175.9946783625731,8005.302448979592,21
Kazakhstan,3,156.15333333333334,10513.06,0
Kenya,1,83.97,2293.62,0
Kingdom of the Netherlands,23,241.4913043478261,11241.314285714287,1
Kuwait,1,251.41,12527.28,0
Lao People's Democratic Republic,1,132.27,4838.7,0
Latvia,5,176.26600000000002,5847.588000000001,0
Libyan Arab Jamahiriya,1,302.71,10591.8,0
Luxembourg,11,258.9136363636364,10448.405454545455,0
Malaysia,42,197.90761904761908,7668.259999999999,0
Maldives,1,143.34,2590.8,0
Malta,10,180.486,9393.555,2
Mexico,73,186.82150684931506,9332.858769230768,7
Morocco,6,271.67333333333335,10996.93,0
Myanmar,2,201.48000000000002,9330.689999999999,0
Nepal,3,123.70666666666666,4988.56,0
New Zealand,91,100.67274725274724,3429.7974418604654,3
Nigeria,1,234.81,11536.68,0
Norway,2,197.27499999999998,6172.2,0
Oman,6,229.11333333333334,10963.909999999998,0
Pakistan,3,202.71,6137.91,0
Panama,16,179.346875,9313.817142857142,2
Philippines,52,142.64249999999998,5016.603673469387,3
Poland,12,171.65333333333334,8656.32,2
Portugal,12,229.72833333333332,9427.325454545455,1
Qatar,23,196.02304347826086,8930.216666666667,2
Republic of Korea,94,168.24808510638297,7105.420481927711,9
Republic of Moldova,2,231.14499999999998,9837.419999999998,0
Romania,7,181.8414285714286,6598.92,0
Russian Federation,13,201.55615384615385,9752.33,0
Rwanda,1,219.98,10988.04,0
San Marino,3,100.85000000000001,5052.0599999999995,1
Saudi Arabia,9,242.1988888888889,10197.253333333334,0
Serbia,6,131.49833333333333,5074.92,1
Singapore,45,207.89333333333335,9489.873658536586,3
Slovakia,1,160.34,4503.42,0
South Africa,5,90.144,4025.265,1
Spain,34,183.67393939393938,9614.182222222222,6
Sri Lanka,3,254.56333333333336,10365.74,0
Sweden,3,285.2366666666667,10393.68,0
Switzerland,23,172.81130434782608,10361.168,8
Taiwan,59,164.60508474576272,6699.561509433963,6
Thailand,64,180.33625,7197.827419354839,1
Trinidad and Tobago,1,245.8,10805.16,0
Turkey,68,212.77926470588235,9461.238529411765,0
Uganda,1,74.81,2202.18,0
Ukraine,2,253.45999999999998,10584.18,0
United Arab Emirates,47,198.9708510638298,10260.164347826087,0
United Kingdom,66,219.00757575757575,9721.153548387098,3
United States,2771,157.95111512089497,7311.295066445183,345
Uzbekistan,2,219.29000000000002,10347.96,0
Viet Nam,13,191.24923076923076,8924.289999999999,1
