origin_country,total_flights,avg_velocity,avg_altitude,on_ground_count
Algeria,20,198.06900000000002,8455.793684210526,1
Argentina,15,149.90266666666668,6982.850769230769,2
Armenia,2,156.92000000000002,3383.28,0
Australia,103,111.87349514563107,6046.575833333333,29
Austria,108,157.1827777777778,7586.364242424243,5
Azerbaijan,6,243.73833333333334,10345.42,0
Bahrain,4,255.41250000000002,12784.455,0
Bangladesh,9,90.21333333333334,4487.091428571429,2
Belarus,2,62.76,2087.88,1
Belgium,51,142.82588235294116,7340.155500000001,11
Bolivia,1,250.12,12397.74,0
Brazil,132,161.51075757575757,7002.470243902439,8
Brunei Darussalam,2,46.99,1264.92,1
Bulgaria,10,123.397,5822.768571428571,3
Cambodia,1,103.56,1150.62,0
Canada,254,120.92806324110671,6443.641333333333,70
Central African Republic,1,62.89,2362.2,0
Chile,45,171.27244444444446,7331.926829268293,4
China,249,183.77919678714858,8241.402139534883,24
Colombia,10,118.359,8163.56,3
Croatia,8,136.06625,3959.5424999999996,0
Czech Republic,47,94.89170212765957,4288.206486486486,6
Denmark,15,130.082,5289.368571428572,1
Dominican Republic,4,225.31,9519.285,0
Egypt,26,202.64115384615386,9880.7016,1
Estonia,4,62.2725,11468.1,3
Ethiopia,7,196.44142857142856,9648.19,1
Finland,42,180.42904761904762,8359.14,2
France,180,144.17361111111111,5823.923926380368,15
Georgia,5,87.28200000000001,6324.599999999999,3
Germany,343,137.21116618075803,6402.350275862069,41
Greece,47,151.00304347826088,6927.582631578948,7
Guatemala,4,22.7625,,2
Hungary,38,182.35,8167.198378378379,0
Iceland,13,116.08538461538463,7303.346666666666,3
India,171,162.1687134502924,7504.86493150685,22
Indonesia,24,166.99041666666668,6239.8275,0
Ireland,222,181.44554054054055,8172.96786407767,16
Israel,14,241.975,10538.460000000001,0
Italy,48,85.71604166666667,2511.552,3
Japan,165,181.19478787878788,7567.273691275168,15
Jordan,13,193.50307692307692,10985.695384615385,0
Kazakhstan,3,206.1833333333333,11099.800000000001,0
Kenya,1,76.97,2202.18,0
Kingdom of the Netherlands,121,176.52132231404957,7587.848947368421,6
Kuwait,1,211.55,6926.58,0
Kyrgyzstan,1,20.27,10012.68,0
Latvia,21,146.90142857142857,6189.445263157894,2
Lebanon,2,229.47500000000002,10633.71,0
Libyan Arab Jamahiriya,1,116.2,7284.72,0
Lithuania,7,172.46,8772.144,1
Luxembourg,25,161.37959999999998,6514.437391304347,2
Malaysia,51,179.01901960784312,7002.78,3
Malta,131,191.32450381679388,8986.376612903225,5
Mauritius,1,233.13,7696.2,0
Mexico,27,159.9325925925926,8320.314285714287,6
Mongolia,1,105.3,1043.94,0
Montenegro,1,129.21,2171.7,0
Morocco,15,228.65666666666667,10266.172,0
Myanmar,5,146.876,4427.22,1
Nepal,3,37.53,2423.16,2
New Zealand,13,155.74384615384616,6800.215,1
Nigeria,1,265.5,10927.08,0
Norway,41,139.41536585365853,5633.085,1
Oman,5,93.51400000000001,10580.369999999999,1
Panama,17,163.65235294117647,11490.267272727273,4
Paraguay,2,71.78999999999999,1817.3700000000001,0
Philippines,34,174.52735294117647,7279.64,4
Poland,122,135.7500819672131,5858.0481818181825,10
Portugal,44,149.8815909090909,6535.615384615385,5
Qatar,11,167.6381818181818,7379.2080000000005,0
Republic of Korea,92,204.09641304347824,8403.420666666667,1
Republic of Moldova,3,221.35,10175.24,0
Romania,14,156.02857142857144,6103.075714285714,0
Russian Federation,35,177.5437142857143,8855.86875,0
San Marino,6,129.66833333333332,6711.95,0
Saudi Arabia,33,227.97545454545457,10423.929090909092,0
Serbia,1,219.31,11925.3,0
Singapore,47,215.9027659574468,8859.22465116279,1
Slovakia,4,147.95499999999998,6208.395,0
Slovenia,5,41.586,996.6959999999999,0
South Africa,25,127.1532,4876.8,1
Spain,189,174.32946808510638,7218.109213483146,9
Sri Lanka,2,147.155,236.22,0
Sweden,61,168.0883606557377,7687.219285714285,4
Switzerland,108,116.24175925925927,7038.603896103896,28
Taiwan,62,199.97370967741935,7815.199,2
Thailand,57,176.57508771929827,7252.264444444445,3
Trinidad and Tobago,2,97.105,5364.48,1
Tunisia,5,243.67600000000002,11260.836,0
Turkey,214,211.66443925233645,9764.179223300971,8
Turkmenistan,1,216.6,10866.12,0
Ukraine,4,152.94,7595.235,0
United Arab Emirates,50,201.46939999999998,8729.50375,2
United Kingdom,431,165.375313225058,7635.6882352941175,33
United States,3298,145.70515169902913,6602.459979654121,331
Uzbekistan,5,239.834,10946.892,0
Viet Nam,21,169.7447619047619,7645.400000000001,3
